i,t,capcost,fom,vom,heatrate
Nuclear,2010,5250.0,129.284371,1.9,10.497
Nuclear,2011,5250.0,129.284371,1.9,10.497
Nuclear,2012,5250.0,129.284371,1.9,10.497
Nuclear,2013,5250.0,129.284371,1.9,10.497
Nuclear,2014,5250.0,129.284371,1.9,10.497
Nuclear,2015,5250.0,129.284371,1.9,10.497
Nuclear,2016,5250.0,129.284371,1.9,10.497
Nuclear,2017,5250.0,129.284371,1.9,10.497
Nuclear,2018,5250.0,129.284371,1.9,10.497
Nuclear,2019,5250.0,129.284371,1.9,10.497
Nuclear,2020,5250.0,129.284371,1.9,10.497
Nuclear,2021,5250.0,129.284371,1.9,10.497
Nuclear,2022,5250.0,129.284371,1.9,10.497
Nuclear,2023,5250.0,129.284371,1.9,10.497
Nuclear,2024,5250.0,129.284371,1.9,10.497
Nuclear,2025,5250.0,129.284371,1.9,10.497
Nuclear,2026,5250.0,129.284371,1.9,10.497
Nuclear,2027,5250.0,129.284371,1.9,10.497
Nuclear,2028,5250.0,129.284371,1.9,10.497
Nuclear,2029,5250.0,129.284371,1.9,10.497
Nuclear,2030,5250.0,129.284371,1.9,10.497
Nuclear,2031,5000.0,129.284371,1.9,10.497
Nuclear,2032,4750.0,129.284371,1.9,10.497
Nuclear,2033,4500.0,129.284371,1.9,10.497
Nuclear,2034,4250.0,129.284371,1.9,10.497
Nuclear,2035,4000.0,129.284371,1.9,10.497
Nuclear,2036,3800.0,129.284371,1.9,10.497
Nuclear,2037,3600.0,129.284371,1.9,10.497
Nuclear,2038,3400.0,129.284371,1.9,10.497
Nuclear,2039,3200.0,129.284371,1.9,10.497
Nuclear,2040,3000.0,129.284371,1.9,10.497
Nuclear,2041,2900.0,129.284371,1.9,10.497
Nuclear,2042,2800.0,129.284371,1.9,10.497
Nuclear,2043,2700.0,129.284371,1.9,10.497
Nuclear,2044,2600.0,129.284371,1.9,10.497
Nuclear,2045,2500.0,129.284371,1.9,10.497
Nuclear,2046,2450.0,129.284371,1.9,10.497
Nuclear,2047,2400.0,129.284371,1.9,10.497
Nuclear,2048,2350.0,129.284371,1.9,10.497
Nuclear,2049,2300.0,129.284371,1.9,10.497
Nuclear,2050,2250.0,129.284371,1.9,10.497
Nuclear,2051,2250.0,129.284371,1.9,10.497
Nuclear,2052,2250.0,129.284371,1.9,10.497
Nuclear,2053,2250.0,129.284371,1.9,10.497
Nuclear,2054,2250.0,129.284371,1.9,10.497
Nuclear,2055,2250.0,129.284371,1.9,10.497
Nuclear,2056,2250.0,129.284371,1.9,10.497
Nuclear,2057,2250.0,129.284371,1.9,10.497
Nuclear,2058,2250.0,129.284371,1.9,10.497
Nuclear,2059,2250.0,129.284371,1.9,10.497
Nuclear,2060,2250.0,129.284371,1.9,10.497
