i,t,capcost,fom,vom,heatrate
Nuclear,2010,8000.0,155.624298,3.4,10.497
Nuclear,2011,8000.0,155.624298,3.4,10.497
Nuclear,2012,8000.0,155.624298,3.4,10.497
Nuclear,2013,8000.0,155.624298,3.4,10.497
Nuclear,2014,8000.0,155.624298,3.4,10.497
Nuclear,2015,8000.0,155.624298,3.4,10.497
Nuclear,2016,8000.0,155.624298,3.4,10.497
Nuclear,2017,8000.0,155.624298,3.4,10.497
Nuclear,2018,8000.0,155.624298,3.4,10.497
Nuclear,2019,8000.0,155.624298,3.4,10.497
Nuclear,2020,8000.0,155.624298,3.4,10.497
Nuclear,2021,8000.0,155.624298,3.4,10.497
Nuclear,2022,8000.0,155.624298,3.4,10.497
Nuclear,2023,8000.0,155.624298,3.4,10.497
Nuclear,2024,8000.0,155.624298,3.4,10.497
Nuclear,2025,8000.0,155.624298,3.4,10.497
Nuclear,2026,8000.0,155.624298,3.4,10.497
Nuclear,2027,8000.0,155.624298,3.4,10.497
Nuclear,2028,8000.0,155.624298,3.4,10.497
Nuclear,2029,8000.0,155.624298,3.4,10.497
Nuclear,2030,8000.0,155.624298,3.4,10.497
Nuclear,2031,8000.0,155.624298,3.4,10.497
Nuclear,2032,8000.0,155.624298,3.4,10.497
Nuclear,2033,8000.0,155.624298,3.4,10.497
Nuclear,2034,8000.0,155.624298,3.4,10.497
Nuclear,2035,8000.0,155.624298,3.4,10.497
Nuclear,2036,7950.0,155.624298,3.4,10.497
Nuclear,2037,7900.0,155.624298,3.4,10.497
Nuclear,2038,7850.0,155.624298,3.4,10.497
Nuclear,2039,7800.0,155.624298,3.4,10.497
Nuclear,2040,7750.0,155.624298,3.4,10.497
Nuclear,2041,7600.0,155.624298,3.4,10.497
Nuclear,2042,7450.0,155.624298,3.4,10.497
Nuclear,2043,7300.0,155.624298,3.4,10.497
Nuclear,2044,7150.0,155.624298,3.4,10.497
Nuclear,2045,7000.0,155.624298,3.4,10.497
Nuclear,2046,6850.0,155.624298,3.4,10.497
Nuclear,2047,6700.0,155.624298,3.4,10.497
Nuclear,2048,6550.0,155.624298,3.4,10.497
Nuclear,2049,6400.0,155.624298,3.4,10.497
Nuclear,2050,6250.0,155.624298,3.4,10.497
Nuclear,2051,6250.0,155.624298,3.4,10.497
Nuclear,2052,6250.0,155.624298,3.4,10.497
Nuclear,2053,6250.0,155.624298,3.4,10.497
Nuclear,2054,6250.0,155.624298,3.4,10.497
Nuclear,2055,6250.0,155.624298,3.4,10.497
Nuclear,2056,6250.0,155.624298,3.4,10.497
Nuclear,2057,6250.0,155.624298,3.4,10.497
Nuclear,2058,6250.0,155.624298,3.4,10.497
Nuclear,2059,6250.0,155.624298,3.4,10.497
Nuclear,2060,6250.0,155.624298,3.4,10.497
