Technology	Scenario	Parameter	Offset	Value	Units
Biorefinery v1	Bioreference	Fossil GHG	0	162067500	kg CO2-eq/year
Biorefinery v1	Conversion 0	Fossil GHG	0	158826150	kg CO2-eq/year
Biorefinery v1	Conversion 1	Fossil GHG	0	159668901	kg CO2-eq/year
Biorefinery v1	Conversion 2	Fossil GHG	0	160770960	kg CO2-eq/year
Biorefinery v1	Fermentation 0	Fossil GHG	0	159636487.5	kg CO2-eq/year
Biorefinery v1	Fermentation 1	Fossil GHG	0	164012310	kg CO2-eq/year
Biorefinery v1	Fermentation 2	Fossil GHG	0	164498512.5	kg CO2-eq/year
Biorefinery v1	Preprocessing 0	Fossil GHG	0	166119187.5	kg CO2-eq/year
Biorefinery v1	Preprocessing 1	Fossil GHG	0	170332942.5	kg CO2-eq/year
Biorefinery v1	Preprocessing 2	Fossil GHG	0	173736360	kg CO2-eq/year
Biorefinery v1	Separations 0	Fossil GHG	0	186377625	kg CO2-eq/year
Biorefinery v1	Separations 1	Fossil GHG	0	179894925	kg CO2-eq/year
Biorefinery v1	Separations 2	Fossil GHG	0	163201972.5	kg CO2-eq/year
Biorefinery v1	Bioreference	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Conversion 0	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Conversion 1	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Conversion 2	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Fermentation 0	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Fermentation 1	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Fermentation 2	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Preprocessing 0	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Preprocessing 1	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Preprocessing 2	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Separations 0	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Separations 1	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Separations 2	Biogenic GHG	1	115762500	kg CO2-eq/year
Biorefinery v1	Bioreference	Employment	2	100800	person-hours/year
Biorefinery v1	Conversion 0	Employment	2	100800	person-hours/year
